Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Nature Reviews Nephrology	NAT REV NEPHROL	NATURE PORTFOLIO	1759-5061	1759-507X	39.8	44.5	Q1	2/133
Nature Reviews Physics	NAT REV PHYS	NATURE PORTFOLIO		2522-5820	39.5	53.2	Q1	1/187
CHEMICAL SOCIETY REVIEWS	CHEM SOC REV	ROYAL SOC CHEMISTRY	0306-0012	1460-4744	39.0	50.1	Q1	3/239
CIRCULATION	CIRCULATION	LIPPINCOTT WILLIAMS & WILKINS	0009-7322	1524-4539	38.6	35.9	Q1	1/98
Lancet Gastroenterology & Hepatology	LANCET GASTROENTEROL	ELSEVIER INC		2468-1253	38.6	34.0	Q1	2/147
NATURE MATERIALS	NAT MATER	NATURE PORTFOLIO	1476-1122	1476-4660	38.5	46.8	Q1	1/79
Nature Reviews Bioengineering	NAT REV BIOENG	SPRINGERNATURE		2731-6092	37.6	37.6	Q1	1/124
REVIEWS OF GEOPHYSICS	REV GEOPHYS	AMER GEOPHYSICAL UNION	8755-1209	1944-9208	37.3	34.6	Q1	1/100
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	PROG ENERG COMBUST	PERGAMON-ELSEVIER SCIENCE LTD	0360-1285	1873-216X	37.0	39.3	Q1	1/175
eScience	ESCIENCE	KEAI PUBLISHING LTD	2097-2431	2667-1417	36.6	35.9	Q1	5/460
Nano-Micro Letters	NANO-MICRO LETT	SHANGHAI JIAO TONG UNIV PRESS	2311-6706	2150-5551	36.3	30.1	Q1	2/147
Electrochemical Energy Reviews	ELECTROCHEM ENERGY R	SPRINGERNATURE	2520-8489	2520-8136	36.3	34.1	Q1	2/44
LANCET ONCOLOGY	LANCET ONCOL	ELSEVIER SCIENCE INC	1470-2045	1474-5488	35.9	42.0	Q1	8/326
EUROPEAN HEART JOURNAL	EUR HEART J	OXFORD UNIV PRESS	0195-668X	1522-9645	35.6	34.4	Q1	3/230
Joule	JOULE	CELL PRESS	2542-4351	2542-4351	35.4	43.7	Q1	3/185
Nature Nanotechnology	NAT NANOTECHNOL	NATURE PORTFOLIO	1748-3387	1748-3395	34.9	40.4	Q1	8/460
Annual Review of Pathology-Mechanisms of Disease	ANNU REV PATHOL-MECH	ANNUAL REVIEWS	1553-4006	1553-4014	34.5	39.7	Q1	1/90
Molecular Cancer	MOL CANCER	BMC		1476-4598	33.9	35.9	Q1	4/319
Cancer Discovery	CANCER DISCOV	AMER ASSOC CANCER RESEARCH	2159-8274	2159-8290	33.3	33.0	Q1	10/326
Annual Review of Immunology	ANNU REV IMMUNOL	ANNUAL REVIEWS	0732-0582	1545-3278	33.3	37.7	Q1	2/183
iMeta	IMETA	WILEY	2770-5986	2770-596X	33.2	33.2	Q1	2/163
Nature Reviews Neurology	NAT REV NEUROL	NATURE PORTFOLIO	1759-4758	1759-4766	33.1	43.4	Q1	2/285
JOURNAL OF HEPATOLOGY	J HEPATOL	ELSEVIER	0168-8278	1600-0641	33.0	28.1	Q1	3/147
Nature Photonics	NAT PHOTONICS	NATURE PORTFOLIO	1749-4885	1749-4893	32.9	38.2	Q1	1/125
Lancet Respiratory Medicine	LANCET RESP MED	ELSEVIER SCI LTD	2213-2600		32.8	35.4	Q1	1/108
Nature Reviews Rheumatology	NAT REV RHEUMATOL	NATURE PORTFOLIO	1759-4790	1759-4804	32.7	35.7	Q1	1/58
Annual Review of Astronomy and Astrophysics	ANNU REV ASTRON ASTR	ANNUAL REVIEWS	0066-4146	1545-4282	32.5	41.2	Q1	1/84
NATURE METHODS	NAT METHODS	NATURE PORTFOLIO	1548-7091	1548-7105	32.1	51.7	Q1	1/86
eLight	ELIGHT	SPRINGERNATURE	2097-1710	2662-8643	32.1	32.2	Q1	2/125
Interdisciplinary Materials	INTERD MATER	WILEY	2767-4401	2767-441X	31.6	31.6	Q1	9/460
Annual Review of Organizational Psychology and Organizational Behavior	ANNU REV ORGAN PSYCH	ANNUAL REVIEWS	2327-0608	2327-0616	31.1	25.1	Q1	1/420
LANCET INFECTIOUS DISEASES	LANCET INFECT DIS	ELSEVIER SCI LTD	1473-3099	1474-4457	31.0	26.9	Q1	1/137
Cell Metabolism	CELL METAB	CELL PRESS	1550-4131	1932-7420	30.9	33.4	Q1	3/191
Energy & Environmental Science	ENERG ENVIRON SCI	ROYAL SOC CHEMISTRY	1754-5692	1754-5706	30.8	35.1	Q1	2/374
Annual Review of Condensed Matter Physics	ANNU REV CONDEN MA P	ANNUAL REVIEWS	1947-5454	1947-5462	30.7	28.7	Q1	2/79
Annual Review of Fluid Mechanics	ANNU REV FLUID MECH	ANNUAL REVIEWS	0066-4189	1545-4479	30.2	32.6	Q1	1/171
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	PHYS REP	ELSEVIER	0370-1573	1873-6270	29.5	29.3	Q1	3/114
Annual Review of Psychology	ANNU REV PSYCHOL	ANNUAL REVIEWS	0066-4308	1545-2085	29.4	34.4	Q1	1/221
NATURE GENETICS	NAT GENET	NATURE PORTFOLIO	1061-4036	1546-1718	29.0	37.4	Q1	2/191
Physiological Reviews	PHYSIOL REV	AMER PHYSIOLOGICAL SOC	0031-9333	1522-1210	28.7	47.7	Q1	1/87
Nature Cancer	NAT CANCER	NATURE PORTFOLIO		2662-1347	28.5	28.6	Q1	11/326
ACM COMPUTING SURVEYS	ACM COMPUT SURV	ASSOC COMPUTING MACHINERY	0360-0300	1557-7341	28.0	26.3	Q1	1/147
NATURE IMMUNOLOGY	NAT IMMUNOL	NATURE PORTFOLIO	1529-2908	1529-2916	27.6	29.2	Q1	3/183
Living Reviews in Solar Physics	LIVING REV SOL PHYS	SPRINGER INT PUBL AG	2367-3648	1614-4961	27.6	26.1	Q1	2/84
Science Robotics	SCI ROBOT	AMER ASSOC ADVANCEMENT SCIENCE	2470-9476	2470-9476	27.5	32.9	Q1	1/48
Nature Climate Change	NAT CLIM CHANGE	NATURE PORTFOLIO	1758-678X	1758-6798	27.1	32.9	Q1	1/191
Nature Sustainability	NAT SUSTAIN	NATURE PORTFOLIO	2398-9629	2398-9629	27.1	32.8	Q1	1/191
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	INT J INFORM MANAGE	ELSEVIER SCI LTD	0268-4012	1873-4707	27.0	23.0	Q1	1/166
Wiley Interdisciplinary Reviews-Computational Molecular Science	WIRES COMPUT MOL SCI	WILEY	1759-0876	1759-0884	27.0	18.4	Q1	1/67
ADVANCED MATERIALS	ADV MATER	WILEY-V C H VERLAG GMBH	0935-9648	1521-4095	26.8	28.9	Q1	10/460
NEW ASTRONOMY REVIEWS	NEW ASTRON REV	ELSEVIER SCI LTD	1387-6473	1872-9630	26.8	13.7	Q1	3/84
MATERIALS SCIENCE & ENGINEERING R-REPORTS	MAT SCI ENG R	ELSEVIER SCIENCE SA	0927-796X	1879-212X	26.8	36.7	Q1	10/460
NATURE REVIEWS NEUROSCIENCE	NAT REV NEUROSCI	NATURE PORTFOLIO	1471-003X	1471-0048	26.7	36.7	Q1	1/314
Nature Biomedical Engineering	NAT BIOMED ENG	NATURE PORTFOLIO	2157-846X	2157-846X	26.6	30.4	Q1	2/124
ASTRONOMY AND ASTROPHYSICS REVIEW	ASTRON ASTROPHYS REV	SPRINGER	0935-4956	1432-0754	26.5	34.5	Q1	4/84
Annual Review of Plant Biology	ANNU REV PLANT BIOL	ANNUAL REVIEWS	1543-5008	1545-2123	26.5	30.5	Q1	1/273
Immunity	IMMUNITY	CELL PRESS	1074-7613	1097-4180	26.3	33.2	Q1	4/183
PROGRESS IN POLYMER SCIENCE	PROG POLYM SCI	PERGAMON-ELSEVIER SCIENCE LTD	0079-6700	1873-1619	26.1	31.6	Q1	1/94
Advanced Energy Materials	ADV ENERGY MATER	WILEY-V C H VERLAG GMBH	1614-6832	1614-6840	26.0	26.8	Q1	5/182
PROCEEDINGS OF THE IEEE	P IEEE	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	0018-9219	1558-2256	25.9	25.0	Q1	2/366
CELL RESEARCH	CELL RES	SPRINGERNATURE	1001-0602	1748-7838	25.9	36.6	Q1	7/204
GUT	GUT	BMJ PUBLISHING GROUP	0017-5749	1468-3288	25.8	25.3	Q1	4/147
Innovation	INNOVATION-AMSTERDAM	CELL PRESS	2666-6758	2666-6758	25.7	40.2	Q1	4/135
Foundations and Trends in Machine Learning	FOUND TRENDS MACH LE	NOW PUBLISHERS INC	1935-8237	1935-8245	25.4	89.0	Q1	1/204
EUROPEAN UROLOGY	EUR UROL	ELSEVIER	0302-2838	1873-7560	25.2	22.0	Q1	3/133
Lancet Public Health	LANCET PUBLIC HEALTH	ELSEVIER SCI LTD	2468-2667	2468-2667	25.2	29.8	Q1	3/419
Gastroenterology	GASTROENTEROLOGY	W B SAUNDERS CO-ELSEVIER INC	0016-5085	1528-0012	25.1	26.9	Q1	5/147
Advanced Powder Materials	ADV POWDER MATER	KEAI PUBLISHING LTD		2772-834X	24.9	24.9	Q1	13/460
Cancer Communications	CANCER COMMUN	WILEY		2523-3548	24.9	22.2	Q1	12/326
Lancet Psychiatry	LANCET PSYCHIAT	ELSEVIER SCI LTD	2215-0374		24.8	33.0	Q1	2/288
FUNGAL DIVERSITY	FUNGAL DIVERS	SPRINGER	1560-2745	1878-9129	24.8	28.3	Q1	1/32
Carbon Energy	CARBON ENERGY	WILEY		2637-9368	24.2	23.0	Q1	14/460
Lancet Digital Health	LANCET DIGIT HEALTH	ELSEVIER		2589-7500	24.1	27.6	Q1	1/48
Molecular Plant	MOL PLANT	CELL PRESS	1674-2052	1752-9867	24.1	25.8	Q1	2/273
Nature Water	NAT WATER	SPRINGERNATURE		2731-6084	24.1	24.1	Q1	1/131
Nature Machine Intelligence	NAT MACH INTELL	NATURE PORTFOLIO		2522-5839	23.9	31.8	Q1	1/175
Advances in Optics and Photonics	ADV OPT PHOTONICS	Optica Publishing Group	1943-8206		23.8	31.5	Q1	3/125
EnergyChem	ENERGYCHEM	ELSEVIER	2589-7780	2589-7780	23.8	25.5	Q1	3/175
COORDINATION CHEMISTRY REVIEWS	COORDIN CHEM REV	ELSEVIER SCIENCE SA	0010-8545	1873-3840	23.5	22.7	Q1	1/42
Light-Science & Applications	LIGHT-SCI APPL	SPRINGERNATURE	2095-5545	2047-7538	23.4	23.1	Q1	4/125
JAMA Internal Medicine	JAMA INTERN MED	AMER MEDICAL ASSOC	2168-6106	2168-6114	23.3	22.3	Q1	7/332
BLOOD	BLOOD	ELSEVIER	0006-4971	1528-0020	23.1	19.7	Q1	2/98
Military Medical Research	MILITARY MED RES	BMC	2095-7467	2054-9369	22.9	18.5	Q1	8/332
Exploration	EXPLORATION-PRC	WILEY	2766-8509	2766-2098	22.5	22.8	Q1	5/135
Opto-Electronic Advances	OPTO-ELECTRON ADV	"CAS, INST OPTICS & ELECTRONICS, ED OFF OPTO-ELECTRONIC JOURNALS"	2096-4579	2097-3993	22.4	15.4	Q1	5/125
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	J AM COLL CARDIOL	ELSEVIER SCIENCE INC	0735-1097	1558-3597	22.3	24.2	Q1	4/230
InfoMat	INFOMAT	WILEY		2567-3165	22.3	21.1	Q1	17/460
Annual Review of Medicine	ANNU REV MED	ANNUAL REVIEWS	0066-4219	1545-326X	22.1	17.6	Q1	2/195
Materials Today	MATER TODAY	ELSEVIER SCI LTD	1369-7021	1873-4103	22.0	25.3	Q1	18/460
ENDOCRINE REVIEWS	ENDOCR REV	ENDOCRINE SOC	0163-769X	1945-7189	22.0	29.0	Q1	4/191
Nature Food	NAT FOOD	NATURE PORTFOLIO		2662-1355	21.9	28.3	Q1	1/181
Nature Reviews Psychology	NAT REV PSYCHOL	SPRINGERNATURE		2731-0574	21.8	21.8	Q1	2/221
Advanced Composites and Hybrid Materials	ADV COMPOS HYBRID MA	SPRINGERNATURE	2522-0128	2522-0136	21.8	16.8	Q1	1/34
DRUG RESISTANCE UPDATES	DRUG RESIST UPDATE	CHURCHILL LIVINGSTONE	1368-7646	1532-2084	21.7	23.0	Q1	2/352
Lancet Planetary Health	LANCET PLANET HEALTH	ELSEVIER SCI LTD		2542-5196	21.6	27.1	Q1	4/419
JAMA Neurology	JAMA NEUROL	AMER MEDICAL ASSOC	2168-6149	2168-6157	21.3	22.4	Q1	3/285
Advanced Fiber Materials	ADV FIBER MATER	SPRINGERNATURE	2524-7921	2524-793X	21.3	18.3	Q1	1/31
SusMat	SUSMAT	WILEY	2766-8479	2692-4552	21.3	21.7	Q1	2/102
International Journal of Extreme Manufacturing	INT J EXTREME MANUF	IOP Publishing Ltd	2631-8644	2631-7990	21.3	18.5	Q1	1/71
INTENSIVE CARE MEDICINE	INTENS CARE MED	SPRINGER	0342-4642	1432-1238	21.2	25.7	Q1	2/62
Science Bulletin	SCI BULL	ELSEVIER	2095-9273	2095-9281	21.1	17.6	Q1	6/135
Applied Catalysis B-Environment and Energy	APPL CATAL B-ENVIRON	ELSEVIER	0926-3373	1873-3883	21.1	20.2	Q1	1/83
EUROPEAN RESPIRATORY JOURNAL	EUR RESPIR J	EUROPEAN RESPIRATORY SOC JOURNALS LTD	0903-1936	1399-3003	21.0	18.9	Q1	2/108
AMERICAN JOURNAL OF BIOETHICS	AM J BIOETHICS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1526-5161	1536-0075	20.8	14.7	Q1	1/77
Nature Metabolism	NAT METAB	NATURE PORTFOLIO		2522-5812	20.8	23.2	Q1	5/191
Journal of Thoracic Oncology	J THORAC ONCOL	ELSEVIER SCIENCE INC	1556-0864	1556-1380	20.8	18.4	Q1	3/108
TRENDS IN PLANT SCIENCE	TRENDS PLANT SCI	CELL PRESS	1360-1385	1878-4372	20.8	21.3	Q1	3/273
Annual Review of Public Health	ANNU REV PUBL HEALTH	ANNUAL REVIEWS	0163-7525	1545-2093	20.7	28.4	Q1	5/419
REPORTS ON PROGRESS IN PHYSICS	REP PROG PHYS	IOP Publishing Ltd	0034-4885	1361-6633	20.7	20.9	Q1	4/114
ANNALS OF THE RHEUMATIC DISEASES	ANN RHEUM DIS	ELSEVIER	0003-4967	1468-2060	20.6	18.6	Q1	2/58
Annual Review of Biochemistry	ANNU REV BIOCHEM	ANNUAL REVIEWS	0066-4154	1545-4509	20.5	24.9	Q1	6/319
Cell Stem Cell	CELL STEM CELL	CELL PRESS	1934-5909	1875-9777	20.4	21.8	Q1	1/32
Lancet Microbe	LANCET MICROBE	ELSEVIER		2666-5247	20.4	19.8	Q1	2/137
Environmental Chemistry Letters	ENVIRON CHEM LETT	SPRINGER HEIDELBERG	1610-3653	1610-3661	20.4	18.9	Q1	7/374
Bioactive Materials	BIOACT MATER	KEAI PUBLISHING LTD		2452-199X	20.3	20.5	Q1	3/124
Nature Chemistry	NAT CHEM	NATURE PORTFOLIO	1755-4330	1755-4349	20.2	22.6	Q1	10/239
Energy Storage Materials	ENERGY STORAGE MATER	ELSEVIER	2405-8297	2405-8289	20.2	20.2	Q1	22/460
JAMA Oncology	JAMA ONCOL	AMER MEDICAL ASSOC	2374-2437	2374-2445	20.1	24.7	Q1	14/326
NATURE NEUROSCIENCE	NAT NEUROSCI	NATURE PORTFOLIO	1097-6256	1546-1726	20.0	24.8	Q1	2/314
Nature Synthesis	NAT SYNTH	SPRINGERNATURE		2731-0582	20.0	20.0	Q1	11/239
TRENDS IN PHARMACOLOGICAL SCIENCES	TRENDS PHARMACOL SCI	CELL PRESS	0165-6147	1873-3735	19.9	16.8	Q1	3/352
PSYCHOLOGICAL BULLETIN	PSYCHOL BULL	AMER PSYCHOLOGICAL ASSOC	0033-2909	1939-1455	19.8	28.5	Q1	3/221
Cellular & Molecular Immunology	CELL MOL IMMUNOL	CHIN SOCIETY IMMUNOLOGY	1672-7681	2042-0226	19.8	22.6	Q1	5/183
Chem	CHEM-US	CELL PRESS	2451-9294	2451-9294	19.6	23.4	Q1	12/239
Nature Microbiology	NAT MICROBIOL	NATURE PORTFOLIO	2058-5276	2058-5276	19.4	20.7	Q1	4/163
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	AM J RESP CRIT CARE	AMER THORACIC SOC	1073-449X	1535-4970	19.4	20.0	Q1	4/108
Nature Aging	NATURE AGING	SPRINGERNATURE		2662-8465	19.4	21.9	Q1	1/73
ADVANCES IN COLLOID AND INTERFACE SCIENCE	ADV COLLOID INTERFAC	ELSEVIER	0001-8686	1873-3727	19.3	19.5	Q1	11/185
CLINICAL MICROBIOLOGY REVIEWS	CLIN MICROBIOL REV	AMER SOC MICROBIOLOGY	0893-8512	1098-6618	19.3	33.3	Q1	5/163
IEEE-CAA Journal of Automatica Sinica	IEEE-CAA J AUTOMATIC	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	2329-9266	2329-9274	19.2	13.1	Q1	1/89
PhotoniX	PHOTONIX	SPRINGERNATURE		2662-1991	19.1	19.3	Q1	6/125
NATURE CELL BIOLOGY	NAT CELL BIOL	NATURE PORTFOLIO	1465-7392	1476-4679	19.1	22.6	Q1	10/204
Annual Review of Physiology	ANNU REV PHYSIOL	ANNUAL REVIEWS	0066-4278	1545-1585	19.1	24.9	Q1	2/87
ADVANCED FUNCTIONAL MATERIALS	ADV FUNCT MATER	WILEY-V C H VERLAG GMBH	1616-301X	1616-3028	19.0	19.4	Q1	9/187
Annual Review of Marine Science	ANNU REV MAR SCI	ANNUAL REVIEWS	1941-1405	1941-0611	18.9	18.9	Q1	1/119
Advanced Photonics	ADV PHOTONICS	SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS		2577-5421	18.8	17.0	Q1	7/125
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE	INT J MACH TOOL MANU	ELSEVIER SCI LTD	0890-6955	1879-2170	18.8	15.8	Q1	2/182
Cell Host & Microbe	CELL HOST MICROBE	CELL PRESS	1931-3128	1934-6069	18.7	20.5	Q1	1/47
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	IEEE T PATTERN ANAL	IEEE COMPUTER SOC	0162-8828	1939-3539	18.6	20.4	Q1	3/366
Nature Physics	NAT PHYS	NATURE PORTFOLIO	1745-2473	1745-2481	18.4	21.2	Q1	5/114
Computational Visual Media	COMPUT VIS MEDIA	TSINGHUA UNIV PRESS	2096-0433	2096-0662	18.3	12.9	Q1	1/128
Nature Computational Science	NAT COMPUT SCI	SPRINGERNATURE		2662-8457	18.3	17.6	Q1	2/175
ACS Energy Letters	ACS ENERGY LETT	AMER CHEMICAL SOC	2380-8195	2380-8195	18.2	20.5	Q1	8/182
Cyborg and Bionic Systems	CYBORG BIONIC SYST	AMER ASSOC ADVANCEMENT SCIENCE		2692-7632	18.1	14.9	Q1	4/124
TRENDS IN CELL BIOLOGY	TRENDS CELL BIOL	CELL PRESS	0962-8924	1879-3088	18.1	20.1	Q1	11/204
JAMA Pediatrics	JAMA PEDIATR	AMER MEDICAL ASSOC	2168-6203	2168-6211	18.0	19.5	Q1	1/191
Lancet Global Health	LANCET GLOB HEALTH	ELSEVIER SCI LTD	2214-109X	2214-109X	18.0	23.5	Q1	6/419
Nano Materials Science	NANO MATER SCI	KEAI PUBLISHING LTD	2096-6482	2589-9651	17.9	15.8	Q1	25/460
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	PROG PART NUCL PHYS	ELSEVIER	0146-6410	1873-2224	17.9	14.1	Q1	1/22
Lancet Haematology	LANCET HAEMATOL	ELSEVIER SCI LTD	2352-3026		17.7	16.7	Q1	3/98
Chinese Journal of Catalysis	CHINESE J CATAL	ELSEVIER	0253-9837	1872-2067	17.7	13.6	Q1	1/75
ACCOUNTS OF CHEMICAL RESEARCH	ACCOUNTS CHEM RES	AMER CHEMICAL SOC	0001-4842	1520-4898	17.7	19.9	Q1	14/239
Psychological Science in the Public Interest	PSYCHOL SCI PUBL INT	SAGE PUBLICATIONS LTD	1529-1006	1539-6053	17.6	41.8	Q1	4/221
ADVANCED DRUG DELIVERY REVIEWS	ADV DRUG DELIVER REV	ELSEVIER	0169-409X	1872-8294	17.6	19.2	Q1	4/352
Eco-Environment & Health	ECO-ENVIRON HEALTH	ELSEVIER		2772-9850	17.6	17.6	Q1	8/374
Molecular Neurodegeneration	MOL NEURODEGENER	BMC		1750-1326	17.5	19.3	Q1	4/314
Matter	MATTER-US	CELL PRESS	2590-2393	2590-2385	17.5	19.2	Q1	26/460
Trends in Cancer	TRENDS CANCER	CELL PRESS	2405-8033	2405-8025	17.5	18.7	Q1	15/326
PSYCHOTHERAPY AND PSYCHOSOMATICS	PSYCHOTHER PSYCHOSOM	KARGER	0033-3190	1423-0348	17.4	16.9	Q1	3/288
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	MMWR-MORBID MORTAL W	CENTERS DISEASE CONTROL & PREVENTION	0149-2195	1545-861X	17.3	14.1	Q1	7/419
PHARMACOLOGICAL REVIEWS	PHARMACOL REV	ELSEVIER	0031-6997	1521-0081	17.3	21.8	Q1	5/352
TRENDS IN ECOLOGY & EVOLUTION	TRENDS ECOL EVOL	CELL PRESS	0169-5347	1872-8383	17.3	18.7	Q1	1/200
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS	IEEE J SEL AREA COMM	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	0733-8716	1558-0008	17.2	17.4	Q1	4/366
TRENDS IN COGNITIVE SCIENCES	TRENDS COGN SCI	CELL PRESS	1364-6613	1879-307X	17.2	21.8	Q1	1/102
